Metabolite,CTRL_01,CTRL_02,CTRL_03,CTRL_04,TRT_01,TRT_02,TRT_03,TRT_04
PE 38:6,421803.386660056,271629.752666223,283220.453782157,246913.025642753,241690.508455206,302715.044632774,291615.14340832,217133.893977055
PE 40:6,483190.312365616,494345.459719275,605234.944409232,610497.165316765,658726.092567629,463469.925870527,517543.431336327,NA
PE 40:7,202820.812012537,263497.09406693,179971.171226053,138479.364453475,166661.118398114,127849.252273587,147378.46322323,171431.610083679
PS 36:1,52844.760724116,74612.895113625,69602.0776347924,59801.0639148285,74324.8313642079,66980.0500712178,70366.6160238218,58655.0843105606
PS 36:2,167494.601054827,183002.584117615,173371.918225985,123268.754124421,152070.820920012,162402.834518939,130981.654424707,151833.83775906
PS 38:4,194909.683832871,184829.162370336,233572.696128613,154607.646952943,167423.312593295,199662.602527618,170813.140689289,175821.671551571
PS 40:6,10985996.0162423,9024400.55881323,9026803.01620791,7007429.24703639,8927320.74531351,8617985.36812739,8567255.23483874,8111089.14927849
PI 36:2,477921.5197289,469603.248916332,371576.822995614,398551.062846883,510856.63598048,312710.200482433,383746.389872204,403404.971693469
PI 36:3,4230922.81182207,3045736.6393549,3935260.30176554,3575460.2666933,3348195.81095099,3304869.56922295,2689547.22026079,3895400.51246289
PI 38:3,8800289.65435135,7293833.36044293,8905434.39082663,13420905.4335409,9713271.77929114,6458734.76845331,9161154.49227432,8916696.71269421
PI 38:4,10726040.1312151,11886956.9748191,9934411.20820955,10780180.8533947,12945973.0141739,7480983.7804206,10881061.4748832,16432374.7342007
PI 38:5,620211.667605408,417070.463615707,557025.360126359,404251.753534882,430694.686071983,338351.01382055,367702.684964011,626612.683933157
PG 34:1,936013.612834417,922567.540382124,1394577.89157109,740851.742137515,695941.529311589,836489.635196833,850319.516990159,NA
PG 34:2,566099.316219359,487448.905532131,563793.661096167,547966.012401322,488096.789932244,467249.29603796,668486.033558874,521404.781159286
PG 36:2,1586143.31612582,2049824.03605621,2496804.00355982,1437379.02663449,1864803.74718274,1769408.93559886,1907557.83903191,1838277.93387179
PA 36:2,775829.144745608,610033.855785851,663988.72318435,NA,717476.702594115,589661.443463824,792789.698224826,759089.380197326
PA 38:4,885222.226962978,878662.683606384,988626.157449987,682405.488032519,882181.009181111,915507.69855477,749124.491187582,1117096.68327036
LPC 16:0,1225783.77650803,1646465.15888172,1125046.98953435,NA,1626526.33123455,1168616.80182332,1846217.27056707,1575550.04703756
LPC 16:1,6230510.84867854,5766937.1143358,7823604.77550269,5570459.98467714,5461911.38520804,5907110.57522263,7613670.56609817,6016679.59453457
LPC 18:0,23607388.3838745,20460757.7558919,26071282.7825897,26322164.7035206,31111278.0157348,32535008.9612882,29051826.8274846,27827036.032711
LPC 18:1,787943.444828246,1148562.17970172,940576.544851503,705911.53492672,1096995.87120909,1073137.28544915,878478.742370259,860805.364019536
LPC 18:2,1398554.23139428,2227817.55165242,2191454.85395407,1615938.31204301,2043727.9116638,2069566.62179369,1994349.01457909,2334351.65801764
LPC 20:4,1162644.02846904,1784851.27245673,1942246.84356221,1360505.62721537,1273495.10728447,1364911.43511498,1445725.54326814,1278262.82362967
LPC 22:6,1864605.33748892,1471611.37316879,1428456.0423907,1376582.40587131,1268493.13853015,1323963.39009215,1259612.17354941,1056444.07916497
LPE 16:0,377241.033930626,353778.665870518,423467.479413239,313623.09517657,415447.752721158,295593.389110077,296798.193955619,269496.645947525
LPE 18:0,5461027.41772128,5237455.86334113,4661260.36065414,7710161.48055767,5575249.96427685,4104223.22461562,6608809.36450571,4357305.98887675
LPE 18:1,42302807.6155126,39097899.8511015,28363140.1408955,42918778.838077,36175959.2516592,37343268.19232,35354564.5222334,38458722.14846
LPE 18:2,106728894.271829,125123084.465449,82907559.847098,97317258.0330188,110666861.604257,114723356.325225,97241107.2357484,111396882.727768
LPE 20:4,1220992.7837666,1205672.43205781,1340134.46975461,1073293.5120134,1259853.91088593,1715229.19521887,988713.308360594,1174805.97279228
SM d18:1/16:0,1353588.81194031,1204123.51220426,1250087.86275713,1545938.52077024,1522323.90190951,1343798.17756955,1181603.31477263,1005486.04584798
SM d18:1/18:0,377592.950550158,426013.333713382,337105.160834341,388656.905696808,269158.158104607,355252.766290132,300531.697141726,328504.92917697
SM d18:1/22:0,1537406.00512467,1680712.77458775,2314831.35992138,1742346.50808069,1502164.31962054,1238206.73735135,1347480.92158839,1761773.49647797
SM d18:1/24:0,90523.9430129233,140173.985457672,83950.3046198932,91277.0950031024,97045.1578821117,NA,89589.8393977997,69335.1121184258
SM d18:1/24:1,506546.116354507,609838.295673781,361641.92737587,494097.949889072,571109.333586805,539687.597385694,NA,481727.429321712
SM d18:1/16:1,1686604.57070815,1578319.98096541,1627324.05298112,1606295.78968036,1974273.11042802,1259514.39201598,1474269.17237706,1562351.62157586
SM d18:1/18:1,691083.411658352,774930.610557704,750317.676935051,676349.831616998,984963.112167243,716622.290501604,648708.903379254,652219.509366289
Cer d18:1/16:0,2955965.58729886,3077002.43279198,2837059.07376771,2649614.33864276,4735726.81441695,2664428.81396931,3328478.04772791,2618081.41627485
Cer d18:1/18:0,1509755.51119911,963892.91658372,1404876.49998332,1217771.53137166,1370971.06787375,1367175.41915394,921348.710984153,1613087.09985528
Cer d18:1/22:0,459509.689021147,622660.91072966,580250.008107662,610189.962702238,501742.648562017,487411.569081689,714207.199465699,456543.075260405
Cer d18:1/24:0,717797.712350544,757853.166476197,548189.330972209,599600.894344726,684928.925641147,629936.774527496,740948.59581396,741307.464703429
Cer d18:1/24:1,95071.0196729026,88715.1931703577,115638.16298427,141836.143344114,150131.858886778,146437.104139621,150091.782873742,138631.708224564
HexCer d18:1/16:0,42264.8450732014,49159.5189615569,34957.4786334138,47995.9783657933,36127.1222218506,48128.9448856625,55576.6825045768,51677.4791183611
HexCer d18:1/22:0,1700562.39167079,1591610.48964101,1567955.11177395,1565755.93338355,1491933.71809445,1457842.31759543,NA,1904141.30813363
HexCer d18:1/24:1,2553140.61899056,3147059.09319631,2579903.77695002,3021874.25369818,2814140.71941179,3018581.07940152,3220590.00942807,2851605.88082229
DG 32:0,49102330.348475,55657596.3899798,42323491.1808172,30529890.1176106,NA,49844843.1169654,40854762.1150826,42913617.3531545
DG 34:1,8333527.76137441,5736072.87197199,5664109.14301834,5052740.68523621,5561915.24502373,6448767.5596166,6465286.08930544,4568876.0167083
DG 36:2,4595619.28444057,5091616.79894311,3355439.98795472,3749881.70552899,4083210.7377711,5180392.06390649,4753484.0784174,5309907.0864706
DG 36:3,3516507.81127795,3349034.32296729,3894681.70575321,1832871.6651443,2191456.74250045,2695804.92375603,2728562.89117822,2162197.11391556
DG 38:4,1878146.37907007,2401708.2807256,2085843.52767718,1483214.66203123,2049656.85916405,2185807.14713376,1936699.54951548,1740081.16313294
TG 48:1,1435677.99379761,945198.62910501,1146457.62100004,1491366.31756376,1217552.32703083,953048.1173782,1342808.29119374,1143016.0239824
TG 50:2,3203213.26633604,2913185.18714199,2817100.6156062,2168959.40878205,3707307.72411961,2780813.3101709,2694975.33000425,3700389.33633286
TG 50:3,2763917.39350468,2497673.66062159,2411234.74661071,3180937.09936457,3158415.44447887,3261612.79798599,2469097.98550184,2738512.09995727
TG 52:2,767401.940177353,519647.89950139,740818.580144451,716928.883710147,692129.892043792,948690.734802548,647648.294791472,805538.723055984
TG 52:3,21444580.1412467,29179639.2441957,NA,29020881.2397297,21536845.3208547,24779391.717049,24893784.9120159,27644705.3333537
TG 52:4,492533.363139893,429394.536937552,648727.720482578,285202.80203644,388464.310567345,476567.181847928,373895.163421053,396849.779729429
TG 54:3,4131378.85705757,3061713.20535848,3196099.52470504,2688092.12802574,3317411.84854743,2824740.16837815,3677173.36077546,3163657.51070394
TG 54:4,11069337.415629,8076292.65621091,10246981.4013342,13177065.7168771,16397562.4277496,10064971.141897,11286805.9016632,11400398.0020639
TG 54:5,2452821.09694839,2387170.97226918,2347906.39807901,1958044.9059593,1703814.32074876,NA,2540525.75400918,2419243.64991398
TG 54:6,3835278.93879641,5705197.76458327,5305755.9354909,4828591.49437856,4540151.98831862,6697095.17306317,5968071.52508627,5261601.13796891
TG 56:4,76305.3576663701,64137.4922741262,63707.4747145287,56315.172176882,68954.6656815441,53745.2620343886,62295.7790955588,67740.5283786775
TG 56:5,551177.984214651,539102.537938283,620995.52103074,697245.225991716,588908.946765141,532936.514899045,623060.417314649,527837.276656681
TG 56:6,900529.949421352,851259.230411062,1062251.37899169,958325.430675385,1151696.67036312,1056071.06817652,1022141.79307186,886616.478264839
TG 58:6,527080.015424655,587623.141974729,452289.149959646,580489.52437446,529516.277267247,462569.024351363,NA,NA
TG 58:7,1059408.49443862,1057592.12509561,967977.831853098,1070920.20380575,1049920.77271814,851446.673263136,1278862.66062469,911985.139176824
CE 16:0,1231617.50676556,1909063.20452516,1808128.02528818,1446057.09981436,1576071.52021153,1309291.3967861,1096186.88778555,1592720.34451182
CE 18:0,5298642.00677145,3211336.87436626,4627855.28461616,4111377.54746321,3358578.21341194,3541870.44897352,3889265.11981921,4917965.93032015
CE 18:1,438440.197546372,265914.07293342,231641.764223001,283311.293847091,NA,271617.579300103,325724.618178204,367913.125853628
CE 18:2,479491.881346319,421392.693554748,481370.466291403,488066.684121098,NA,430862.073009591,430377.09291569,461810.319302863
CE 20:4,29753455.2511505,NA,38400935.3463162,32254409.0879501,26018887.4571789,29661905.2599941,37830631.2200681,31963608.3853228
CE 22:6,374640.978558763,292526.640768893,358633.597215002,339870.196738787,338705.441690315,366461.251153057,484403.74844178,342821.061340967
FA 16:0,2102838.17689151,1429909.69020422,2563845.13468765,1953718.7587618,2909903.00818766,2202287.17359944,1969086.32920239,1844341.72606113
FA 18:0,747340.49324486,1403167.8867621,741540.624711817,1331809.18728835,876000.079717186,898127.846497883,762817.1459064,1011288.4425869
FA 18:1,1530230.99211469,1301313.10719481,1226880.70019136,1680719.13702127,1301147.64827861,1248416.83805056,1131124.93221239,1464777.50131858
FA 18:2,3125914.04827698,5463875.99075377,3448755.58785207,4164831.06747325,3336105.23961612,3973465.09218383,4514299.40583034,3816247.18563669
FA 20:4,1724124.15375733,1030957.11923031,1674876.75247775,1290886.60851377,1659576.46759726,1223771.16868967,1282976.23721959,1638129.84786533
FA 22:6,394425.098652671,438000.288056764,NA,377002.930446358,463029.50952181,475916.188059753,494323.120172711,341615.911242003
MG 16:0,1242413.6496165,1539557.77116405,1455352.8659775,1581503.77504654,1308334.92538079,1444321.60881013,1420698.53191919,906418.867628446
MG 18:1,13082.1974902537,19308.3559894376,14685.7708532295,18924.1981959836,13487.4347805487,15033.3914072668,18623.2328828076,14285.7368055561
TG 57:3,1180784.87355837,1457547.85456309,1174940.94682422,953896.489067965,1010820.36390009,807028.587283231,855923.946681271,1154952.23821799
TG 53:4,68279.9507240462,47174.5559590798,76627.7619810958,81740.2826609483,70050.515341126,57923.7228102038,48874.2430130974,51920.8866950051
TG 52:7,307538.388194954,350567.463786228,439913.339066903,410000.22218996,502775.215667538,303984.056073769,371916.646422944,467938.048447667
TG 56:3,178325.303935,86834.6012802641,133142.749819333,154058.751447796,138446.400138708,159612.46473563,134851.16717299,188095.782890338
TG 52:7,46930.6112204502,42645.7391764756,58123.4993280478,35752.8507692039,40469.4520332977,42490.4313403105,41812.1641004635,35984.4334752931
TG 53:2,3342874.53854071,3121187.62974043,2468105.86899816,3880132.54152097,2566574.43098094,2425800.67572339,2917605.05665821,3025191.92532284
TG 51:3,4060242.57248431,3431786.93758648,3253373.57114522,2636436.61288658,3198713.36658003,3063730.39114412,2918591.73343348,3768264.79015865
TG 49:4,3929208.77933611,4469046.01399186,3020374.65015428,4397596.86162132,4574335.07226738,3388350.92248832,4554448.46510904,4581583.22295602
TG 54:1,1230974.42004288,1324076.25375993,637784.57135497,1314615.74382603,898654.757299715,1085988.11098438,1223279.91755762,963798.757970442
TG 53:7,984798.73821591,1581560.7472859,1147764.18008137,1256796.71247985,996322.873197566,NA,1300118.54676069,1104107.17054866
TG 57:3,528597.198467858,599537.85658286,491151.566630817,464551.193975361,612870.103062909,457409.841632495,582962.556615829,516572.863145782
TG 53:2,709974.993275801,853206.970163109,794634.219373399,602182.369231789,926901.693836587,729282.346476156,864596.405275739,777063.82464415
TG 51:6,4466014.00063348,3601257.81619887,3258738.42502862,3670015.2112553,3661451.00884805,3580827.73854767,4082119.44051632,3428144.65026287
TG 55:8,502719.976835479,454200.424411868,412131.901851617,329005.838389344,466041.64047495,376317.005301849,535002.083250874,493108.519126586
TG 51:2,NA,460498.688946809,359716.854065936,414138.1075056,382098.628951281,475985.652331224,401320.56056235,351270.401640594
