"feature_id","Name","m/z","RT [min]","CTRL_01","CTRL_02","CTRL_03","TRT_01","TRT_02","TRT_03"
"METAB_028","Serotonin",742.2717,2.21,35207.0019321475,37168.9299450885,58130.7825197778,41000.6857945781,56450.8103451687,39084.2237913418
"METAB_029","Arachidonate",545.0319,4.1,397267.329915145,653491.64138587,738070.832628469,481362.429412751,439193.358748895,438566.86133394
"METAB_030","CMP",254.0376,2.34,65744.9860925573,83709.3092221213,102737.378003958,72167.5817663158,60844.2577321955,78455.1358150591
"METAB_031","Dehydroascorbate",694.655,12.46,919700.110176177,1050104.19200951,994806.49757319,1306715.46442453,913690.294842982,1384651.19198766
"METAB_032","Fructose-6-phosphate",331.919,3.72,56625.7747308184,71848.8884521642,60310.5189466374,93267.3911927011,52489.0544094761,38629.4861107235
"METAB_033","Glycerol",481.4051,17.73,636817.999174385,402286.067572528,423913.336827235,553037.021974327,377834.902006256,533826.013779771
"METAB_034","ADP",891.5621,17.06,84952.7601206956,39695.9464444644,80457.3608880063,41324.5665318302,79015.8552026588,57965.0179067991
"METAB_035","Octanoylcarnitine",427.7695,12.54,199139.430130338,217690.426386601,160885.625221914,203145.725673911,167492.360870216,145923.417592592
"METAB_036","Thiamine pyrophosphate",280.4105,13.4,13641.3801548807,16945.8522256863,18143.2214149797,22053.7000142421,15319.6018911601,20865.8361744708
"METAB_037","Hypoxanthine",258.0505,13.26,329068.646677098,303546.592349776,354503.781422989,372352.9148058,376581.275304291,374758.228502396
"METAB_038","Isoleucine",645.0764,11.85,1600115.75335952,1494119.23404471,NA,1210464.52186169,1506635.04437596,1475194.43426715
"METAB_039","AMP",883.7744,3.26,350003.677905,422297.000545517,340623.117502915,449347.472978757,279422.716874908,297437.248041122
"METAB_040","GTP",471.1671,16.64,12730.0512870993,13421.4512442916,20006.9921127625,14295.4796242993,10930.9974368495,10608.7601201393
"METAB_041","Glucose-6-phosphate",714.2894,10.29,73488.3319010011,108463.144663193,73753.1660528747,102656.306490377,99940.7586240291,63898.5485223602
"METAB_042","Hydroxyproline",550.9366,9.8,3536330.05458005,4666624.55022599,3435623.32540503,4269647.19159985,6933739.62951594,6834364.50952152
"METAB_043","NADP+",872.0706,0.63,8085150.4296651,5432661.66493422,6086596.35591286,7193592.45735413,8383355.81752487,5841207.30220534
"METAB_044","UTP",733.4775,6.79,36172.8559440654,NA,49414.3047197274,35019.8587736446,40728.3101520698,29248.0729891187
"METAB_045","Biotin",516.1622,12.45,127551.696343691,NA,140388.666915822,136914.030801604,138480.273550952,NA
"METAB_046","FAD",569.2315,7.67,517659.881427708,405483.303197824,494969.95656275,659125.221688189,337920.61355434,442471.534021907
"METAB_047","UMP",296.3869,13.7,699825.080748208,373774.215400858,545360.746294071,533473.678591526,391495.03350085,406572.237842073
"METAB_048","Glyceraldehyde-3-phosphate",309.225,14.03,103473.916347203,102420.937354614,94002.7645819387,52786.989866287,91753.9958613944,71686.4466748047
"METAB_049","Tocopherol",133.3847,10.45,67388.9598982731,57073.9675904982,51344.1471490117,45983.8777312012,55641.1742248002,82493.6123317286
"METAB_050","Progesterone",541.7267,3.64,255274.840084014,135140.780261692,246969.608985391,140987.393582462,194477.881827188,230325.055950278
"METAB_051","FMN",295.1317,13.72,1385876.90728556,1775667.6218789,1538021.61031761,1704784.59515293,NA,NA
"METAB_052","Tetrahydrofolate",82.6915,1.94,320025.88083768,273777.446436245,233555.773204498,249086.392467803,400259.319636682,NA
"METAB_053","FADH2",563.4036,11.32,74351.2411037437,81983.8922753053,92419.3112190027,102681.794717193,92279.6377935231,105792.769223599
"METAB_054","Phosphoenolpyruvate",506.442,7.66,80514.8743267364,NA,87173.8807005004,120561.767472306,103186.823234356,123659.508544039
"METAB_055","Glycine",772.6005,14.04,3349417.99524492,5849156.66331818,3175365.01395452,4319972.90838788,3933612.50857142,4672327.13862813
"METAB_056","Fumarate",104.2366,14.6,117148.936238568,95180.6469086509,117784.223524086,118708.862579287,123247.422718554,124525.806333031
"METAB_057","Choline",571.8109,17.42,1429481.61190697,1214085.18171814,782463.074468293,912561.181360688,830685.289220501,1118931.48467627
"METAB_058","Thiamine",300.1042,4.12,NA,2944672.90421789,3789493.59356335,3500546.31948425,4463530.14495792,2709341.80846403
"METAB_059","Aspartate",178.8993,15.65,478550.240190662,581278.754909322,548479.438634472,449102.73510246,NA,494069.82380279
"METAB_060","Histidine",162.5785,7.68,132424.250169627,139506.531617267,107635.536137788,145185.066886046,113091.392093443,102487.834760648
"METAB_061","Ornithine",693.4921,9.38,282793.315309746,251456.482852984,342766.171624618,225342.80238319,203983.376164915,236295.339011988
"METAB_062","Choline sulfate",93.0877,14.02,85328.4700351895,82404.7991851309,109177.64187358,95691.9407023103,135700.640170309,115161.340992579
"METAB_063","GABA",120.5581,2.65,1767022.1917305,1980416.24662644,2957207.91580294,2056071.13760859,NA,2493792.07268341
"METAB_064","EPA",693.0515,7.59,135096.787189223,278634.63188527,197581.695471396,298737.06773854,183509.361315044,225822.974717415
"METAB_065","Spermidine",372.9349,12.02,2953696.74502957,3986790.99833511,3591547.53024997,2668428.11510395,4104324.42448111,5194909.59563221
"METAB_066","Lactate",702.3457,16.37,82364.6133087833,83253.3949745448,107056.061422174,92125.3381063499,96850.5063509812,112157.101676678
"METAB_067","NADPH",388.2842,6.4,80384.6349483904,74524.5563980533,105814.170058283,87329.6321096019,89987.9369883157,NA
"METAB_068","Bile acid",735.5594,2.16,450403.531441402,418567.341122329,589675.983707739,300401.556662222,255501.525494533,422052.519325183
"METAB_069","Serine",101.0681,16.8,328848.6105511,293763.711718561,220434.094748676,250958.777409938,249979.27851393,241880.257776501
"METAB_070","Aminoisobutyrate",495.214,3.84,115758.891349821,90756.6178551761,105277.837227243,118421.843310489,76737.188038775,127864.97196928
"METAB_071","UDP",753.4075,1.26,15039.9852883544,16942.833376612,21171.5513624803,17722.103125149,14202.5933557636,18594.1641622214
"METAB_072","Beta-alanine",526.7004,7.84,273864.73354742,312645.278775876,296495.795441094,240060.697485039,350642.472584366,283093.583295652
"METAB_073","Glutamine",298.6813,6.3,84862.6391823154,108348.810896527,72835.5502122587,NA,79816.9600986929,62759.3130204515
"METAB_074","Cholesterol",362.6026,5.18,1540873.92303723,1424478.62585446,NA,1776212.16102135,1741758.94834309,1933686.01793418
"METAB_075","Testosterone",382.7243,12.04,62692.5938823508,46479.3597725006,47468.6988326683,58017.0326048071,NA,50971.5635166482
"METAB_076","Uric acid",431.9867,14.17,2319597.23413646,2271225.98166063,1776714.75508725,1401002.13543417,1644435.44205549,1714974.94176749
"METAB_077","Homocysteine",833.1818,8.08,66794.47106708,77379.0925069443,83695.3126990336,72566.5733032168,68912.6569064674,103132.619140218
"METAB_078","Nicotinamide",723.1627,16.77,372557.040925201,589550.110921053,608478.90999558,418064.044183862,440027.075176854,534886.32952471
"METAB_079","Stearate",685.0219,5.12,1599044.24881525,1545594.7456595,1130222.08845144,1518770.20429385,1458745.61938784,1492010.21420214
"METAB_080","Threonine",310.2336,11.96,75123.5773088605,75565.0666217392,76880.4424138941,95580.8978572596,113544.834755575,61993.5744618851
"METAB_081","Propionyl-CoA",454.5978,7.03,747653.016428913,748313.726619712,759676.834474334,552735.704994383,602587.682028021,568539.606777536
"METAB_082","Tyramine",315.7809,16.86,236276.308339161,167559.846740332,219898.720909688,264258.338336517,252496.176516314,273510.447750949
"METAB_083","S-adenosylhomocysteine",650.9587,13.32,71256.6992367888,27035.3598614748,NA,40386.1968975118,39740.9909403834,31397.6024216638
"METAB_084","Glycerophosphocholine",753.0202,10.74,93061.5031867476,166588.266546104,187362.333219938,127231.78930105,NA,178722.638158762
"METAB_085","Phenylalanine",617.2259,14.72,3644364.81087945,4392114.27474841,2371671.07607751,6643342.50720388,3960596.82840212,4508913.7908061
"METAB_086","Pyroglutamate",419.0738,15.92,208094.695763049,179653.761009771,NA,247021.039571427,141541.192501979,227718.622635909
"METAB_087","Oxaloacetate",860.5001,13.49,90012.7529496159,82655.7869736842,61551.5810315045,47606.1096637843,62439.5761253337,54820.6700613209
"METAB_088","Pyruvate",279.3498,9.18,284259.455761749,253818.738345369,270736.494178767,373553.571247422,254230.218615658,235865.024778997
"METAB_089","Hypotaurine",579.1217,17.8,345145.104055013,403841.032522843,439971.956813902,324221.222460351,642386.5423735,499052.147542325
"METAB_090","Valine",701.5202,10.13,2186403.1114629,1406997.19729847,1113577.08463304,1401873.05419578,NA,1788238.67086177
"METAB_091","NAD+",648.8072,15.87,1320561.28669171,1710018.78367484,2056371.55266191,1501024.35623458,2079797.33083313,1834156.66778602
"METAB_092","Pyridoxal",174.6508,11.46,247556.991617919,307637.644050616,313290.141985437,288498.295469297,306669.898007368,331449.096587334
"METAB_093","Tryptophan",601.4476,11.15,1954673.2037773,1553439.4092062,2018142.70066089,1834306.74373173,3088248.54582286,1491759.62258605
"METAB_094","DHA",333.4008,0.89,110756.066983822,68072.1372691614,88680.0068736633,74565.2414352984,92088.9573349245,79532.9542022572
"METAB_095","Coenzyme A",369.4588,4.81,5010.05756463034,4606.95377112477,4028.56509010918,3569.27316430908,4296.73520066049,4707.55553837329
"METAB_096","Niacin",884.3858,14.03,134748.55267481,100043.533266337,89278.8640880638,65249.3775884643,112734.550439658,132220.251545688
"METAB_097","Glutamate",521.8839,17.97,153596.365688275,108154.222330499,82171.8995521345,105115.64949628,106748.454337164,98453.8570922347
"METAB_098","Ascorbate",444.1078,17.29,5814.11386999506,NA,3828.94118661929,4056.16234151195,4850.39271898588,6725.92328124051
"METAB_099","Spermine",858.4808,13.59,538563.90975494,607690.424887674,520624.694528325,725901.271565672,617744.514582988,674861.329061448
"METAB_100","Isocitrate",451.0364,12.34,78124.0985159707,64599.281751593,66718.3420175917,56501.8000227287,68545.4017274238,69124.2248166866
"METAB_101","Guanosine",236.3132,4.67,173202.356916906,196220.644347281,258204.255686209,208913.24908685,153314.392565541,173329.931394948
"METAB_102","Carnitine",893.1195,11.04,24272.3285633979,16053.9582977577,16411.1590246376,16856.2823015548,13339.1756454731,19978.1309541729
"METAB_103","Glycerol-3-phosphate",529.7335,10.46,643587.643014916,NA,NA,767510.471503705,800278.525932607,577025.598781209
"METAB_104","Adenosine",710.4289,1.18,5057298.26634222,8500255.65053071,5524025.87191497,5649083.95846411,7963994.41898094,7244758.98458852
"METAB_105","Succinate",829.0058,6.9,63407.133462626,53946.0198602873,54664.3932317459,54781.7406533869,50865.4356577545,64507.4471673654
"METAB_106","Acetyl-CoA",639.3318,16.14,232191.208182805,211092.667673591,242635.515156076,NA,281044.386728736,166484.778739582
"METAB_107","Creatine",413.9462,7.23,7647171.28611296,8536179.15563181,7129131.2884256,7533919.06271589,7374017.89945995,8047438.99730439
"METAB_108","Aminoadipate",414.2257,9.45,1061428.48009089,1017848.98284868,1556764.85050513,1865010.17459573,1246491.19819975,1168640.86428586
"METAB_109","Indole",199.7879,3.4,6060368.77651665,8079285.8540433,8335647.0877513,4797249.15545473,5917461.73159222,9711695.71898223
"METAB_110","CTP",241.2675,3.71,259095.986143648,232428.230029475,227750.687978349,304008.578508015,258465.045772775,300787.330723258
"METAB_111","Sphinganine",237.6117,9.97,249863.894668732,158919.437845743,171489.68605674,201955.159012495,195695.911291378,140655.818176422
"METAB_112","Inosine",414.8998,7.26,100482.416732275,75047.6733789208,176984.816728529,131950.290220842,109926.247108174,131227.112035156
"METAB_113","Oleate",365.5415,11.37,2627026.67103068,2713908.77760522,3025347.5511278,3084898.75495891,3454354.62320318,3294793.31638821
"METAB_114","Creatinine",764.3251,10.43,16092.9675256564,22139.6223035403,28277.9412504428,15974.4362315764,34097.6285759579,NA
"METAB_115","Estradiol",242.688,2.79,494825.556788392,349455.952003595,441459.551059454,487275.206915207,477952.8268534,414671.63791977
"METAB_116","S-adenosylmethionine",786.6804,5.42,264407.901360655,339344.491352569,214964.90238014,231185.25949264,297384.958820173,185693.142977409
"METAB_117","Methionine",405.692,0.31,17039288.4896498,10086766.9929188,10702998.658153,10565062.026497,16197015.557049,14063609.2497598
"METAB_118","Cytidine",205.6681,17.21,123995.863809448,112469.060436239,72174.1766480971,79737.7352655375,49693.5525393312,65009.3107145555
"METAB_119","Trimethylamine",358.2124,7.37,18610.9329199167,21474.7433319826,23186.031287741,19396.0954739546,17779.7504222802,18621.7461855052
"METAB_120","Alanine",381.088,17.59,513901.928891275,326368.589328286,319567.368342868,653215.028246893,441654.652953472,431240.188044126
"METAB_121","Uridine",430.4508,9.36,244804.800646662,215526.99444023,281177.939652931,254504.269281509,193904.615433672,249018.477135951
"METAB_122","Acetylcholine",232.7963,8.57,53204.6348259575,56232.925237174,82047.1714757677,49952.8170917198,50151.0478310835,73219.4505957962
"METAB_123","Cortisol",619.5736,13.11,276375.219741944,343000.352042148,419427.348404782,489792.399432439,348995.440374546,333168.424373769
"METAB_124","Cadaverine",834.7373,2.81,151305.594155831,151262.060864476,157999.686904049,148451.50548484,148361.902388692,262848.388529885
"METAB_125","Asparagine",681.7931,9.57,84774.7632463868,96027.3440936201,72279.897583761,NA,NA,67624.7832508661
"METAB_126","Succinyl-CoA",803.5018,10.22,620843.19404425,587522.166691528,498910.59436076,481748.428174888,753812.546862164,859909.125843268
"METAB_127","Propionylcarnitine",861.7442,11.99,153843.883110131,94056.5214719914,146981.553342928,128259.082908813,123880.735450996,105472.280704033
"METAB_128","Tyrosine",239.8193,6.89,11364.3864360908,NA,10388.9675550834,16305.8220164148,11815.9968777358,8715.41976298647
"METAB_129","Quinolinate",467.5457,2.71,3072.13667561737,1801.59601391899,2735.39780462767,3197.24882286749,2885.04061453953,NA
"METAB_130","Sarcosine",396.5615,1.61,90560.2322295747,116493.336648855,84539.7158816151,111718.03680271,131520.226460475,69861.5417728977
"METAB_131","Acetylcarnitine",386.816,13.78,4577319.01992871,2788699.84830579,3713061.32736477,3358661.02747312,NA,4436145.73527111
"METAB_132","Histamine",102.8416,12.74,1226938.59394359,888339.132208143,1299544.2435641,1188128.69997778,1286487.98783657,1388826.01444434
"METAB_133","3-Phosphoglycerate",842.0713,13.82,1679468.37175246,1903445.75644566,2692285.13675774,2433189.01828882,2728754.69877664,2862836.60449519
"METAB_134","Proline",416.634,3.08,1358203.91524782,1624802.36274841,2296794.35958018,1504672.88548117,1322053.62739786,1267528.86804742
"METAB_135","GMP",863.789,10.91,504388.191642853,304027.563451976,472114.490941458,467927.674496367,321117.47539959,461217.96653244
"METAB_136","Riboflavin",303.1653,13.81,17670.1520173649,20290.1015914733,17075.9655321038,23469.3688067998,19827.6000367868,24286.9832217855
"METAB_137","Linoleate",504.1421,16.45,402163.59992071,305804.887282547,368352.678669973,361633.463506742,493160.85385479,466683.004899355
"METAB_138","Citrulline",882.2141,5.75,4568816.23038574,4166822.43439353,2975486.74254651,4401522.91959772,3115833.966094,NA
"METAB_139","Retinal",383.1511,11.93,956.011702769037,839.597311588264,748.998027839958,604.91954120445,899.812530951414,753.406894745847
"METAB_140","Ceramide",334.553,6.28,59109.83266623,76200.2810961108,61954.3237128531,NA,66847.2243153023,53134.722531477
"METAB_141","Citrate",108.0519,11,1764829.45382202,2420796.03701707,1927053.40912825,2365951.69851602,1808053.61573806,1888837.89529975
"METAB_142","Arginine",627.404,1.79,582361.239908204,673159.179736084,619703.887454503,449569.637759357,609427.894037243,631452.37571235
"METAB_143","Dihydroxyacetone phosphate",835.1514,11.02,814381.999457148,889805.89030582,772508.160633287,984198.713588578,1277190.2311717,898481.104049521
"METAB_144","Xanthine",116.8915,10.85,394060.514637942,905817.527060213,583237.420779122,648931.009332854,778315.578521705,803309.239058755
"METAB_145","Glucose",244.9288,12.14,NA,626132.71075835,NA,737305.840895302,924515.144171045,576380.366621998
"METAB_146","Malate",689.6822,14.48,304710.010951933,318047.283590757,324016.928509736,314971.643463525,219884.683155229,282809.434355349
"METAB_147","NADH",187.0566,15.44,61169.4892138801,64996.5084950471,36610.4845315399,NA,62716.7384354639,59623.2702871481
"METAB_148","Lysine",661.2845,1.19,23428.2963439965,34383.598059109,30370.8399790765,24345.41118914,28926.5245447126,38922.2826699469
"METAB_149","Phosphocholine",899.0421,12.24,220662.020502776,375384.193442819,306978.20483641,297148.009704408,227476.71439699,301244.106047004
"METAB_150","Taurine",854.0087,15.27,99621.5997289882,120930.603593912,92082.0264099547,91708.8695358825,NA,190374.643636718
